year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2017.0,1.0,24,0.0,-7.6,-34.4,28.0,10.8,1.5,5.0,1.0,9.5,0
2013.0,7.0,15,23.5,-21.36,55.91,23.9,5.0,1.0,5.0,1.0,9.5,0
2011.0,1.0,20,17.0,-28.26111,153.58276,26.3,9.8,0.5,1.0,1.0,9.5,1
2015.0,6.0,26,11.0,32.3708,-80.4375,25.8,6.0,1.0,5.0,1.0,9.5,1
2016.0,5.0,22,13.0,27.86,-80.45,25.8,4.6,1.0,5.0,1.0,9.5,0
2015.0,8.0,29,10.0,35.365945,-120.850004,17.4,5.0,0.5,10.0,1.0,14.0,1
2012.0,6.0,26,19.0,28.9,-80.2,26.5,9.0,1.0,5.0,1.0,9.5,0
2014.0,10.0,31,11.0,20.13195,-155.79389,28.2,3.1,1.0,5.0,1.0,9.5,1
2016.0,3.0,31,11.0,20.81136,-156.622548,25.8,5.5,1.0,5.0,1.0,9.5,1
2014.0,8.0,5,12.0,28.320224,-80.608867,29.4,5.7,1.0,5.0,1.0,9.5,1
2012.0,6.0,22,9.77,27.6,-80.2,27.2,5.0,1.0,6.0,1.0,9.5,0
2013.0,10.0,26,11.7,-20.93,55.32,24.6,5.0,1.0,5.0,1.0,9.5,0
2011.0,1.0,26,9.55,27.0,-78.7,18.9,0.7,1.0,3.0,1.0,9.5,0
2014.0,1.0,26,19.0,-33.8,151.2,22.0,2.6,1.0,1.0,1.0,1.0,0
2012.0,11.0,4,22.0,20.9,-156.47,25.8,2.6,1.0,5.0,1.0,9.5,0
